State,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,Median AQI
New York,2018.0,351.93548387096774,309.2258064516129,39.29032258064516,3.225806451612903,0.16129032258064516,0.03225806451612903,0.0,115.6774193548387,31.193548387096776
North Carolina,2018.0,302.5,255.57894736842104,45.76315789473684,1.0,0.15789473684210525,0.0,0.0,92.28947368421052,35.5
North Dakota,2018.0,360.1,311.1,47.2,1.6,0.2,0.0,0.0,113.4,35.6
Ohio,2018.0,320.85714285714283,259.0,59.357142857142854,2.4523809523809526,0.047619047619047616,0.0,0.0,107.64285714285714,34.73809523809524
Oklahoma,2018.0,320.84615384615387,256.96153846153845,60.84615384615385,2.923076923076923,0.11538461538461539,0.0,0.0,120.5,35.84615384615385
Oregon,2018.0,342.5217391304348,274.39130434782606,57.30434782608695,6.0,4.478260869565218,0.34782608695652173,0.0,164.43478260869566,29.130434782608695
Pennsylvania,2018.0,349.75,279.625,67.475,2.525,0.125,0.0,0.0,112.475,36.975
Puerto Rico,2018.0,238.375,191.0,44.5,2.0,0.875,0.0,0.0,92.375,22.875
Rhode Island,2018.0,360.0,309.3333333333333,44.333333333333336,6.333333333333333,0.0,0.0,0.0,134.0,35.0
South Carolina,2018.0,324.27777777777777,291.05555555555554,32.94444444444444,0.2777777777777778,0.0,0.0,0.0,84.77777777777777,34.166666666666664
South Dakota,2018.0,339.2,297.5,40.3,1.3,0.0,0.0,0.1,135.0,32.1
Tennessee,2018.0,339.7391304347826,286.7391304347826,51.26086956521739,1.6956521739130435,0.043478260869565216,0.0,0.0,97.91304347826087,35.17391304347826
Texas,2018.0,347.265306122449,277.9183673469388,61.44897959183673,7.122448979591836,0.7346938775510204,0.04081632653061224,0.0,128.89795918367346,31.959183673469386
Utah,2018.0,347.8,214.13333333333333,122.6,10.133333333333333,0.9333333333333333,0.0,0.0,131.13333333333333,44.266666666666666
Vermont,2018.0,303.0,269.25,33.5,0.25,0.0,0.0,0.0,82.75,29.75
Virgin Islands,2018.0,69.0,58.0,10.666666666666666,0.3333333333333333,0.0,0.0,0.0,74.66666666666667,24.333333333333332
Virginia,2018.0,268.70588235294116,243.58823529411765,24.823529411764707,0.29411764705882354,0.0,0.0,0.0,80.17647058823529,28.470588235294116
Washington,2018.0,355.73333333333335,295.8,49.733333333333334,5.366666666666666,4.4,0.36666666666666664,0.06666666666666667,196.2,26.1
West Virginia,2018.0,306.875,274.875,30.125,1.3125,0.5625,0.0,0.0,98.1875,28.5625
Wisconsin,2018.0,314.4642857142857,259.14285714285717,52.07142857142857,2.7857142857142856,0.4642857142857143,0.0,0.0,123.64285714285714,37.92857142857143
Wyoming,2018.0,331.05555555555554,256.6111111111111,72.88888888888889,1.3888888888888888,0.16666666666666666,0.0,0.0,107.77777777777777,39.55555555555556
Alabama,2019.0,298.11764705882354,236.1764705882353,60.705882352941174,1.2352941176470589,0.0,0.0,0.0,88.82352941176471,38.64705882352941
Alaska,2019.0,275.44444444444446,236.33333333333334,32.77777777777778,3.4444444444444446,2.3333333333333335,0.1111111111111111,0.4444444444444444,146.33333333333334,19.22222222222222
Arizona,2019.0,363.61538461538464,251.69230769230768,101.53846153846153,9.0,0.6153846153846154,0.23076923076923078,0.5384615384615384,165.6153846153846,42.76923076923077
Arkansas,2019.0,237.53846153846155,197.92307692307693,39.46153846153846,0.15384615384615385,0.0,0.0,0.0,83.61538461538461,36.15384615384615
California,2019.0,359.6792452830189,247.9056603773585,95.33962264150944,13.264150943396226,2.660377358490566,0.22641509433962265,0.2830188679245283,226.26415094339623,43.83018867924528
Colorado,2019.0,287.25,221.25,63.964285714285715,1.9642857142857142,0.07142857142857142,0.0,0.0,95.03571428571429,34.07142857142857
Connecticut,2019.0,325.125,276.75,40.875,6.75,0.75,0.0,0.0,131.625,39.5
Country Of Mexico,2019.0,195.0,146.5,42.0,6.5,0.0,0.0,0.0,135.0,57.5
Delaware,2019.0,365.0,283.6666666666667,80.33333333333333,1.0,0.0,0.0,0.0,104.0,42.333333333333336
District Of Columbia,2019.0,365.0,242.0,118.0,4.0,1.0,0.0,0.0,157.0,44.0
Florida,2019.0,353.28205128205127,312.79487179487177,39.97435897435897,0.5128205128205128,0.0,0.0,0.0,92.94871794871794,35.69230769230769
Georgia,2019.0,294.6551724137931,225.58620689655172,67.51724137931035,1.4482758620689655,0.10344827586206896,0.0,0.0,105.37931034482759,38.55172413793103
Hawaii,2019.0,364.25,351.5,11.75,0.75,0.25,0.0,0.0,102.5,18.25
Idaho,2019.0,344.8095238095238,304.04761904761904,39.476190476190474,1.1428571428571428,0.14285714285714285,0.0,0.0,92.33333333333333,23.80952380952381
Illinois,2019.0,336.5925925925926,269.3703703703704,66.03703703703704,1.0740740740740742,0.1111111111111111,0.0,0.0,98.14814814814815,35.51851851851852
Indiana,2019.0,332.675,282.05,50.025,0.6,0.0,0.0,0.0,86.65,34.5
Iowa,2019.0,288.125,235.5625,52.4375,0.125,0.0,0.0,0.0,85.25,34.4375
Kansas,2019.0,335.72727272727275,299.0,36.36363636363637,0.2727272727272727,0.09090909090909091,0.0,0.0,100.54545454545455,32.0
Kentucky,2019.0,322.81481481481484,280.1111111111111,42.148148148148145,0.5555555555555556,0.0,0.0,0.0,83.44444444444444,38.22222222222222
Louisiana,2019.0,330.3478260869565,278.3478260869565,51.391304347826086,0.6086956521739131,0.0,0.0,0.0,91.56521739130434,34.391304347826086
Maine,2019.0,332.0,314.7,16.9,0.3,0.1,0.0,0.0,92.8,33.7
Maryland,2019.0,332.11764705882354,274.29411764705884,54.411764705882355,3.3529411764705883,0.058823529411764705,0.0,0.0,111.29411764705883,38.0
Massachusetts,2019.0,362.61538461538464,328.15384615384613,34.07692307692308,0.38461538461538464,0.0,0.0,0.0,96.0,37.53846153846154
Michigan,2019.0,301.32142857142856,262.75,37.714285714285715,0.8571428571428571,0.0,0.0,0.0,90.82142857142857,34.32142857142857
Minnesota,2019.0,335.04761904761904,299.4761904761905,35.142857142857146,0.3333333333333333,0.09523809523809523,0.0,0.0,101.9047619047619,29.285714285714285
Mississippi,2019.0,337.8,279.4,58.2,0.2,0.0,0.0,0.0,92.1,38.6
