State,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,Median AQI
Massachusetts,242.07692307692307,204.53846153846155,35.84615384615385,1.6153846153846154,0.07692307692307693,0.0,0.0,121.6923076923077,37.76923076923077
Florida,183.46153846153845,160.48717948717947,22.846153846153847,0.10256410256410256,0.02564102564102564,0.0,0.0,84.41025641025641,37.743589743589745
Kentucky,193.5185185185185,166.66666666666666,26.555555555555557,0.2962962962962963,0.0,0.0,0.0,90.48148148148148,37.629629629629626
Michigan,265.6923076923077,217.26923076923077,46.03846153846154,2.3846153846153846,0.0,0.0,0.0,110.57692307692308,37.42307692307692
Georgia,220.28571428571428,179.89285714285714,39.142857142857146,1.2142857142857142,0.03571428571428571,0.0,0.0,100.82142857142857,37.17857142857143
Indiana,258.6,206.57142857142858,51.114285714285714,0.8857142857142857,0.02857142857142857,0.0,0.0,98.4,36.68571428571428
Nevada,191.77777777777777,145.77777777777777,40.22222222222222,3.6666666666666665,1.7777777777777777,0.3333333333333333,0.0,109.55555555555556,36.55555555555556
Arkansas,186.27272727272728,152.1818181818182,33.45454545454545,0.6363636363636364,0.0,0.0,0.0,87.63636363636364,36.45454545454545
Tennessee,189.91304347826087,158.1304347826087,31.08695652173913,0.6956521739130435,0.0,0.0,0.0,90.43478260869566,36.34782608695652
Illinois,284.7037037037037,220.77777777777777,61.666666666666664,2.074074074074074,0.18518518518518517,0.0,0.0,102.48148148148148,36.03703703703704
North Dakota,236.2,181.9,45.6,5.8,2.9,0.0,0.0,160.2,35.9
North Carolina,213.35135135135135,184.3783783783784,28.81081081081081,0.16216216216216217,0.0,0.0,0.0,86.16216216216216,35.729729729729726
New York,263.14285714285717,228.67857142857142,31.928571428571427,2.392857142857143,0.14285714285714285,0.0,0.0,117.10714285714286,35.25
Minnesota,166.6,138.6,27.75,0.25,0.0,0.0,0.0,92.75,35.05
Ohio,249.51162790697674,197.69767441860466,50.58139534883721,1.2093023255813953,0.023255813953488372,0.0,0.0,95.74418604651163,34.604651162790695
Maine,276.9,256.6,18.8,1.4,0.1,0.0,0.0,120.6,34.5
Kansas,179.6,147.4,31.4,0.8,0.0,0.0,0.0,96.0,34.5
West Virginia,227.8,194.4,33.2,0.2,0.0,0.0,0.0,86.46666666666667,34.0
Wyoming,204.66666666666666,168.27777777777777,34.05555555555556,2.0555555555555554,0.2222222222222222,0.0,0.05555555555555555,137.11111111111111,33.77777777777778
Montana,191.13333333333333,168.0,22.333333333333332,0.8,0.0,0.0,0.0,87.6,33.06666666666667
Nebraska,227.0,190.33333333333334,34.888888888888886,1.7777777777777777,0.0,0.0,0.0,108.66666666666667,32.888888888888886
Louisiana,264.2608695652174,235.04347826086956,28.47826086956522,0.6086956521739131,0.13043478260869565,0.0,0.0,98.26086956521739,32.82608695652174
South Dakota,178.2,154.3,23.3,0.5,0.1,0.0,0.0,94.5,32.8
Texas,222.22,180.06,39.06,2.72,0.36,0.02,0.0,105.86,32.76
Virginia,161.65625,144.5,16.78125,0.375,0.0,0.0,0.0,83.90625,32.25
Idaho,202.89473684210526,171.94736842105263,28.842105263157894,1.631578947368421,0.47368421052631576,0.0,0.0,92.42105263157895,26.63157894736842
Oregon,177.2173913043478,156.17391304347825,19.130434782608695,0.8695652173913043,1.0,0.043478260869565216,0.0,87.21739130434783,25.434782608695652
Washington,179.16666666666666,164.6,14.366666666666667,0.13333333333333333,0.06666666666666667,0.0,0.0,80.1,24.666666666666668
Alaska,197.2,173.8,19.0,3.0,1.4,0.0,0.0,126.0,24.0
Virgin Islands,29.0,27.0,2.0,0.0,0.0,0.0,0.0,73.0,21.0
Hawaii,204.25,188.0,11.5,4.25,0.5,0.0,0.0,79.25,19.75
Puerto Rico,117.1,99.1,16.8,0.8,0.1,0.2,0.1,99.6,18.7
